soil_type,rainfall_mm,temp_high_c,temp_low_c,temp_avg_c,humidity_percent,sunlight_hours,wind_speed_kmph,recommended_crop
Red,382.7500072,34.51592124,20.98658484,27.75125304,56.24074562,4.779972602,3.697003346,Bajra
Red,100.0033863,33.46155015,15.56411579,24.51283297,78.87995089,8.692763545,3.00934519,Groundnut
Red,114.1915784,28.95514916,20.24756432,24.60135674,67.27780075,5.456145701,10.34223474,Groundnut
Black,66.33298212,37.65882174,17.3277134,27.49326757,53.62425738,7.091930047,7.589543895,Cotton
Red,257.3450991,25.60385537,21.07544852,23.33965194,56.82096495,4.325257965,14.38662645,Maize
Red,247.1508762,30.01041453,15.15966252,22.58503853,59.23575302,5.20512733,11.19916223,Maize
Red,223.3119185,25.44705077,24.09320402,24.7701274,60.35119926,7.312611422,6.740532913,Maize
Black,248.6951147,25.4070728,23.42284775,24.41496027,67.99016533,5.97575118,14.11990639,Wheat
Red,65.82955112,29.2292943,18.8867729,24.0580336,60.85396127,8.143687546,7.28103992,Groundnut
Red,262.4619867,28.58798937,17.96273506,23.27536221,56.61067756,4.078182034,8.080817768,Maize
Alluvial,119.5504885,25.07178752,23.15461428,24.1132009,78.27429375,7.64503584,12.25524416,Wheat
Sandy,374.2053075,33.46400133,24.14959676,28.80679904,84.00154311,6.247253371,4.144921398,Rice
Sandy,305.3621624,33.28824713,23.87212743,28.58018728,68.88859701,4.59797123,11.55893745,Rice
Sandy,246.4470191,35.02257334,19.93795596,27.48026465,70.90931318,6.137705092,3.305029521,Maize
Sandy,120.6017208,36.64492674,19.75370223,28.19931449,72.53102288,7.477580432,4.671977453,Bajra
Sandy,238.944382,27.63979592,24.42853571,26.03416581,73.95461866,7.473924665,13.56561407,Maize
Black,332.8421328,33.23424883,23.7146059,28.47442737,82.14688308,4.932850294,13.71070798,Rice
Laterite,163.5207574,26.58714341,18.56297838,22.5750609,86.27313766,5.360661247,10.77228145,Maize
Alluvial,336.3051681,36.18949758,15.06952131,25.62950944,70.4298921,6.087055016,5.665293726,Rice
Laterite,144.2943168,28.17363179,16.68291042,22.42827111,58.75056878,6.79051001,7.846034053,Groundnut
Alluvial,138.8703949,28.20938882,21.96304273,25.08621577,78.4908236,4.74043465,14.97288582,Maize
Alluvial,391.8152345,30.34348117,15.33050733,22.83699425,63.80284992,7.171756724,11.16846542,Wheat
Sandy,221.3084661,37.8134559,17.42055272,27.61700431,76.8854219,7.808098077,5.851650528,Maize
Sandy,271.3070407,33.23588624,20.35774684,26.79681654,53.6115908,8.176512478,6.84936078,Maize
Sandy,350.4255817,29.23746577,17.20241048,23.21993812,78.4459813,8.047505231,7.183991848,Soybean
Red,379.1831426,30.16843627,20.17751351,25.17297489,83.50840424,7.378450585,11.82259343,Rice
Black,373.6427664,36.40541159,17.57941628,26.99241394,76.39936184,8.086111001,9.662409739,Rice
Red,141.2902112,37.9512981,24.65419351,31.3027458,72.33173814,8.413181716,5.2644853,Bajra
Alluvial,172.2233511,34.43742383,23.9711026,29.20426321,85.48345697,7.899377729,10.70437975,Maize
Alluvial,106.5700499,36.68120445,21.0642906,28.87274752,50.36788206,4.507357714,10.96202123,Bajra
Black,106.282818,32.13353926,21.91895198,27.02624562,76.07845038,5.121346547,11.54615066,Cotton
Alluvial,222.8628003,27.32469522,18.66468785,22.99469153,79.76682092,7.604699621,6.696729502,Wheat
Red,228.0849269,33.27232404,17.50461819,25.38847111,73.5948339,8.894464291,8.840905836,Maize
Laterite,202.0380279,29.5510193,21.45103362,25.50102646,76.75696239,8.320837825,5.762223219,Maize
Laterite,250.2014697,34.99120219,15.43603772,25.21361995,89.78202043,6.34972257,6.354724102,Rice
Laterite,311.7015709,37.38993401,18.30750305,27.84871853,72.11059867,6.861462346,14.763979,Rice
Red,153.0571122,30.00627047,23.51136672,26.75881859,62.67688021,4.847463733,9.68161515,Maize
Black,375.5058922,25.9154097,17.08918718,21.50229844,76.84574067,5.793233906,6.049963789,Wheat
Black,357.0805752,34.62999203,21.97015741,28.30007472,78.09936336,5.797455756,6.523102131,Rice
Black,333.5396881,36.27194014,24.13240553,30.20217283,70.45369595,6.507581473,12.57954215,Rice
Alluvial,74.82932095,30.15818975,15.50768531,22.83293753,85.46468596,4.138083859,9.946378746,Soybean
Laterite,212.9593063,32.05438025,17.86541252,24.95989639,73.63333042,4.15250125,3.448178265,Maize
Laterite,94.47117943,31.78916238,22.69993553,27.24454896,58.6328411,7.114452379,4.02416958,Bajra
Red,193.9738668,34.09365874,16.38353092,25.23859483,55.30981689,8.847684336,11.57514125,Maize
Laterite,328.3151682,28.52081927,19.38971421,23.95526674,53.13825525,4.126753717,14.55178098,Soybean
Alluvial,290.9749653,25.75651674,24.15213728,24.95432701,67.69408919,5.198936796,4.126479481,Wheat
Alluvial,281.0690819,28.63914066,24.54865281,26.59389673,79.51587667,6.771770263,10.34064895,Rice
Laterite,136.7058463,29.62764482,22.5784611,26.10305296,50.57573955,4.580363203,3.552031704,Rice
Red,111.3655945,25.22309432,22.63364423,23.92836928,82.27651908,5.731521605,8.576085755,Groundnut
Sandy,189.476657,33.00605127,21.35093651,27.17849389,51.81216039,5.873063073,10.51031899,Maize
Black,225.3639594,32.01190683,21.83963769,26.92577226,74.63404658,8.719458023,14.33101917,Maize
Red,255.0214534,37.22299314,20.75474178,28.98886746,65.52679705,7.216441092,8.499034686,Maize
Laterite,379.5126831,30.01933429,24.61190564,27.31561996,86.21402568,4.978955674,3.832335611,Rice
Black,63.63709631,33.0373005,18.36554215,25.70142132,76.22890542,5.926983105,11.17936403,Cotton
Black,141.2430849,31.44848691,21.92890359,26.68869525,63.93346418,8.683240759,3.47023592,Cotton
Alluvial,331.2183256,28.66644944,16.77439544,22.72042244,80.02459007,8.034173696,14.8860617,Wheat
Red,180.20633,35.09336849,18.4080354,26.75070195,87.23029302,8.292063759,8.147928329,Maize
Sandy,308.9680662,28.09706998,18.77728886,23.43717942,71.37309894,6.482805953,7.675417035,Bajra
Laterite,84.99471051,25.69530886,24.58541497,25.14036191,83.88572576,5.774525952,14.48161062,Groundnut
Red,250.7032608,33.21388376,19.48445522,26.34916949,61.72843087,5.643322727,11.07022147,Maize
Red,381.16809,35.15684866,16.13464602,25.64574734,87.23716423,8.871241043,14.9511749,Rice
Black,204.5356755,36.54015438,18.50915013,27.52465225,54.68268066,4.71495841,12.13812758,Maize
Red,353.4040469,35.90024993,19.26091475,27.58058234,58.9030567,5.98325801,13.70276291,Wheat
Sandy,229.664159,28.03196494,20.81305417,24.42250956,84.52554088,8.401799843,5.840222324,Maize
Alluvial,257.1610586,29.55283721,22.08181196,25.81732458,69.26667952,5.889937951,11.46101237,Maize
Black,367.2240348,26.44556727,19.92625104,23.18590916,50.45414579,6.34330321,3.675639308,Wheat
Red,318.5181986,35.69627457,22.44211657,29.06919557,77.24157708,5.187532356,7.802674714,Rice
Red,149.9992302,36.29178867,17.23595839,26.76387353,88.52890158,4.060772373,14.63854592,Bajra
Sandy,162.9402359,25.56421018,24.2464333,24.90532174,86.76462861,5.26495084,11.34493348,Maize
Alluvial,233.0842455,33.1821823,21.95748689,27.56983459,68.18164259,7.1377904,10.01177174,Maize
Alluvial,370.3390196,37.4631313,15.57863898,26.52088514,65.78087194,4.53378033,7.027920778,Wheat
Red,276.3969266,30.04748899,17.29394746,23.67071822,60.637517,5.801725476,6.119398354,Maize
Laterite,294.3565999,31.96925276,18.09527616,25.03226446,82.55180079,7.423655863,4.951403272,Rice
Laterite,337.888035,37.34739887,22.25719508,29.80229698,74.53660784,6.091215181,14.1927418,Rice
Black,243.0557554,27.14284539,19.11255117,23.12769828,81.10409135,6.401850409,14.82343261,Wheat
Laterite,257.9457504,29.95158114,24.69914398,27.32536256,83.68475693,8.191643524,8.624317918,Rice
Laterite,96.84824158,25.17773554,15.7535906,20.46566307,77.66857589,6.671731375,11.99892899,Groundnut
Laterite,244.401097,34.9968364,24.4476573,29.72224685,83.98589563,5.236740509,8.406529624,Groundnut
Alluvial,383.9178595,32.88027025,17.28642806,25.08334915,76.86802738,7.090641202,7.297952616,Rice
Black,224.3578153,31.19073906,23.3137149,27.25222698,62.31108959,8.081928676,14.61568519,Maize
Laterite,191.2190032,26.74219797,15.28782676,21.01501237,80.20549023,7.101547757,11.44895722,Maize
Laterite,366.1028705,33.02442826,24.80462725,28.91452775,74.32351398,7.183221608,9.657787303,Rice
Laterite,366.4555431,29.52732107,20.13989489,24.83360798,81.34612051,5.982713912,10.4650404,Rice
Laterite,294.174655,35.35413308,19.59346808,27.47380058,83.6836566,7.844588707,3.794831734,Rice
Sandy,393.0114013,31.40403522,18.2875161,24.84577566,75.33603417,5.200728094,3.910359937,Rice
Alluvial,211.0417056,32.60195938,19.00300489,25.80248213,77.90670295,4.900336362,11.35801759,Maize
Alluvial,363.8759435,31.16150132,21.67557739,26.41853935,56.89279485,4.961445094,3.490423395,Bajra
Black,147.5066187,27.3011363,15.88702534,21.59408082,54.82543484,6.30389384,5.476004621,Wheat
Black,95.0619394,29.29129367,18.21582765,23.75356066,53.69162345,6.40572697,11.25341661,Groundnut
Laterite,372.3053402,25.79401348,17.76877648,21.78139498,82.24805119,7.741298452,5.214252232,Groundnut
Black,315.9843931,31.9064548,22.20516061,27.05580771,52.4936545,4.73869546,4.597403143,Maize
Laterite,236.2397198,26.39323615,19.47412367,22.93367991,71.30469066,5.212352518,6.230918771,Maize
Sandy,113.7993575,32.3315462,23.40709986,27.86932303,53.56817315,6.67667782,5.798596939,Bajra
Sandy,257.7573587,33.82833015,22.89171239,28.36002127,69.93768796,4.43460144,9.445278502,Wheat
Alluvial,247.5604899,29.92404414,18.37446834,24.14925624,85.98589589,7.037776111,5.932237866,Wheat
Laterite,395.2803371,32.87507265,17.37226792,25.12367028,54.0712989,4.764295696,5.951492741,Cotton
Laterite,80.76066859,35.47624353,15.55653489,25.51638921,83.69256141,4.258177389,3.218909777,Groundnut
Sandy,393.8325159,26.45650573,18.97855599,22.71753086,88.77881733,8.327535629,12.80486485,Rice
Laterite,337.3015156,34.33994452,20.35036732,27.34515592,69.06477937,8.192912794,5.460930722,Groundnut
Black,163.2877327,30.5306737,20.07610379,25.30338874,59.6963893,4.574184124,10.32744051,Maize
Sandy,227.1363847,37.11618645,18.20642192,27.66130419,73.7553239,5.846152408,8.451215667,Maize
Sandy,72.18123967,37.86948302,18.22353845,28.04651074,82.39497783,5.273203274,11.17803267,Bajra
