soil_type,rainfall_mm,temp_high_c,temp_low_c,temp_avg_c,humidity_percent,sunlight_hours,wind_speed_kmph,recommended_crop
Black,334.6,36.4,24.8,30.6,58.9,9.7,14.7,Cotton
Black,319.3,24.1,17.8,21.0,26.1,5.1,2.2,Maize
Calcareous,283.7,31.9,15.3,23.6,21.0,12.3,31.3,Bajra
Saline,201.1,20.7,15.9,18.3,88.5,7.5,30.5,Soybean
Calcareous,39.1,25.4,5.7,15.5,46.7,9.6,12.4,Groundnut
Loamy,363.2,29.8,16.9,23.4,79.0,14.0,17.3,Soybean
Black,210.5,21.0,7.2,14.1,79.5,8.5,12.5,Sugarcane
Calcareous,315.9,38.2,35.9,37.0,52.1,5.3,22.6,Soybean
Black,150.2,41.3,11.9,26.6,27.1,4.2,17.0,Cotton
Calcareous,70.9,21.4,5.7,13.5,25.8,8.1,0.7,Barley
Saline,185.3,36.1,11.6,23.9,80.6,11.3,31.4,Groundnut
Alluvial,345.9,35.7,10.9,23.3,58.6,8.2,7.2,Mustard
Clayey,174.2,38.1,13.0,25.6,30.6,13.0,11.2,Sesame
Red,195.1,19.9,14.1,17.0,38.9,9.8,1.5,Mustard
Black,19.1,18.4,16.2,17.3,72.2,5.4,34.5,Rice
Loamy,129.2,34.2,22.4,28.3,78.3,6.2,28.8,Cotton
Black,40.5,30.7,22.8,26.8,94.5,6.2,8.1,Barley
Clayey,45.7,22.0,6.9,14.4,28.9,10.2,14.6,Wheat
Clayey,83.0,20.4,5.7,13.0,41.3,3.4,1.1,Barley
Clayey,238.0,28.2,8.3,18.2,51.8,9.5,15.9,Soybean
Peaty,26.0,29.4,15.9,22.6,74.5,11.4,14.0,Bajra
Alluvial,158.1,33.8,14.0,23.9,49.1,5.0,9.0,Maize
Calcareous,398.1,28.3,7.1,17.7,30.7,9.8,20.7,Soybean
Laterite,82.7,38.2,34.4,36.3,51.1,10.1,8.1,Tur
Sandy,119.4,27.1,6.7,16.9,72.6,6.8,19.8,Tur
Sandy,324.4,39.9,30.4,35.1,72.7,12.0,7.0,Bajra
Peaty,184.1,35.8,5.9,20.8,42.3,10.1,11.6,Soybean
Clayey,35.9,28.1,7.8,17.9,35.4,9.8,2.3,Mustard
Sandy,198.1,29.5,12.5,21.0,79.5,7.3,17.3,Cotton
Saline,231.0,35.2,13.5,24.4,86.2,5.5,1.0,Barley
Calcareous,231.0,29.9,18.7,24.3,83.3,13.9,26.3,Rice
Calcareous,139.1,25.0,11.0,18.0,92.0,5.1,14.8,Tur
Sandy,333.9,21.2,9.1,15.1,39.3,6.8,22.0,Mustard
Sandy,134.6,37.6,35.1,36.4,46.7,8.8,10.6,Wheat
Alluvial,194.9,27.3,9.2,18.2,44.8,7.9,7.4,Rice
Red,137.2,28.3,10.5,19.4,61.9,13.0,15.9,Chana
Laterite,378.5,29.3,21.1,25.2,48.2,11.6,2.9,Sugarcane
Alluvial,60.3,24.9,9.3,17.1,34.6,8.0,8.6,Mustard
Alluvial,57.7,31.2,20.1,25.6,92.5,5.9,25.4,Bajra
Red,291.4,32.9,28.2,30.5,91.3,5.0,30.6,Sugarcane
Saline,205.9,37.8,35.2,36.5,25.4,3.1,20.1,Mustard
Saline,27.7,32.4,23.6,28.0,68.5,12.2,25.6,Barley
Loamy,155.7,41.3,34.8,38.0,84.6,13.0,9.1,Maize
Alluvial,47.5,22.5,14.5,18.5,50.3,6.8,17.1,Sesame
Clayey,23.3,36.7,10.1,23.4,42.8,9.5,22.2,Bajra
Saline,135.8,18.9,14.4,16.6,85.2,13.3,20.2,Maize
Calcareous,137.3,35.6,13.8,24.7,60.7,4.7,31.4,Groundnut
Clayey,305.4,41.8,28.8,35.3,65.5,12.4,5.0,Soybean
Loamy,42.6,29.5,15.7,22.6,30.4,11.2,10.6,Soybean
Saline,224.1,34.9,9.3,22.1,35.4,7.2,12.6,Sugarcane
Saline,216.9,19.5,8.5,14.0,28.1,7.6,21.2,Barley
Red,375.1,30.3,26.5,28.4,91.2,9.2,30.1,Sugarcane
Peaty,329.0,38.0,17.9,27.9,84.5,3.4,8.4,Sugarcane
Sandy,201.7,41.6,26.7,34.1,56.2,11.8,16.8,Wheat
Saline,70.1,40.4,29.8,35.1,89.1,13.1,13.3,Bajra
Alluvial,115.8,40.5,29.3,34.9,43.9,8.1,26.4,Sesame
Clayey,227.0,20.9,12.1,16.5,87.8,12.2,11.9,Sugarcane
Clayey,214.7,24.3,11.6,17.9,99.9,5.1,4.9,Sugarcane
Calcareous,185.9,37.8,33.4,35.6,99.4,5.0,10.0,Barley
Calcareous,59.8,35.0,10.7,22.9,71.1,13.6,28.2,Maize
Laterite,265.4,31.7,28.1,29.9,38.3,11.6,16.9,Maize
Black,136.2,36.9,17.8,27.4,66.1,4.3,32.2,Groundnut
Saline,87.6,38.9,24.2,31.5,66.5,5.9,27.8,Cotton
Sandy,266.9,21.6,7.0,14.3,97.5,5.8,22.0,Rice
Calcareous,177.1,20.4,9.4,14.9,57.4,8.4,14.1,Wheat
Loamy,342.0,37.6,19.4,28.5,59.7,6.3,4.8,Groundnut
