state,district,month,rainfall_mm,temp_high_c,temp_low_c,temp_avg_c,humidity_percent,sunlight_hours,wind_speed_kmph,wind_direction,rain_probability,rain_duration_hours
Karnataka,Mangaluru,Feb-22,32.3,26,20,23,69,7.9,8.1,SE,47%,3.9
Uttar Pradesh,Agra,Jul-23,300.4,30,25,27.5,51,9.2,18.2,NW,73%,4.7
Uttar Pradesh,Varanasi,Jan-21,18.6,31,25,28,88,9.4,12.5,W,75%,2.2
Karnataka,Hubli,Feb-22,16.9,40,30,35,39,8.9,9.4,NE,46%,0.9
Karnataka,Hubli,Apr-23,56.4,41,34,37.5,87,9.3,5.6,NW,22%,0.4
Tamil Nadu,Madurai,Sep-22,79.9,28,20,24,81,4.6,12,E,77%,1.3
Karnataka,Hubli,Feb-23,3.6,26,21,23.5,70,7,6.5,N,74%,0.4
Gujarat,Ahmedabad,Sep-21,68.7,28,23,25.5,41,8.6,10.7,NE,51%,3.7
Maharashtra,Nagpur,Nov-24,78.6,25,13,19,76,5.9,7.3,SE,30%,4.7
Gujarat,Vadodara,Jun-23,318,26,18,22,32,6.1,24.8,NE,82%,4.8
Tamil Nadu,Madurai,Jul-24,274,40,34,37,62,8.2,15.7,SE,54%,2.6
Karnataka,Mysuru,Feb-21,30.7,42,34,38,45,4.4,14.2,S,33%,3.9
Uttar Pradesh,Varanasi,Nov-21,75.7,39,27,33,89,8,21.7,SW,84%,0.4
Tamil Nadu,Coimbatore,Mar-20,60.1,36,28,32,45,4.5,10.3,N,71%,2.8
Karnataka,Mangaluru,Jan-20,77.8,40,30,35,68,7.4,19.1,NE,30%,2.7
Maharashtra,Pune,Sep-21,231.7,28,18,23,59,5.7,5.9,W,19%,2.7
Maharashtra,Mumbai,Nov-20,36.6,33,21,27,90,9.6,23,W,10%,0.5
Karnataka,Mangaluru,Feb-22,32.3,26,20,23,69,7.9,8.1,SE,47%,3.9
Gujarat,Ahmedabad,Mar-24,68.6,37,28,32.5,77,6.3,11.7,SE,35%,1.2
Uttar Pradesh,Lucknow,Dec-24,13.4,36,31,33.5,86,6.7,7.6,NW,79%,4.9
Gujarat,Rajkot,Dec-21,42.3,42,36,39,74,9.9,16.1,S,17%,1.6
Tamil Nadu,Coimbatore,Jul-24,155.7,31,25,28,54,4.8,21.1,NW,59%,0
Gujarat,Surat,Dec-21,18.3,31,22,26.5,59,5.8,17.1,NE,67%,2.7
Maharashtra,Mumbai,Jul-23,151.5,26,20,23,63,8.1,12.7,N,17%,2.5
Maharashtra,Mumbai,Oct-21,79.5,32,21,26.5,56,4.2,19.6,SE,23%,3.3
Gujarat,Rajkot,Oct-24,62.1,38,33,35.5,47,4.9,22.1,S,38%,1.6
Uttar Pradesh,Agra,Jan-21,25.8,42,36,39,86,9.9,10.2,NE,47%,3.2
Tamil Nadu,Coimbatore,Dec-23,26.8,32,27,29.5,46,4.2,9.3,NE,56%,3.3
Karnataka,Hubli,Jul-22,165.2,42,37,39.5,76,5.4,15.7,NW,77%,1
Uttar Pradesh,Varanasi,May-24,40.1,38,26,32,65,8.9,12.7,W,66%,3.3
Uttar Pradesh,Kanpur,Jun-24,24.1,37,30,33.5,43,7.8,16.8,N,44%,4.7
Karnataka,Hubli,May-21,58.4,32,27,29.5,39,6.3,24.1,E,65%,0.6
Gujarat,Rajkot,Mar-21,20,42,32,37,84,4.4,14.7,S,30%,0.2
Karnataka,Mysuru,Jul-24,32.5,33,26,29.5,63,8.4,19.5,N,41%,1.4
Tamil Nadu,Tiruchirappalli,Nov-21,47.3,40,32,36,30,7.3,18.9,E,83%,3.7
Uttar Pradesh,Agra,Jul-21,212.1,28,18,23,76,6.3,20.6,NE,86%,3.3
Maharashtra,Mumbai,Apr-24,58.6,41,34,37.5,53,4.5,9.7,S,80%,2.7
Tamil Nadu,Madurai,Jul-20,334.2,34,28,31,41,8.2,11.7,SE,35%,4.5
Karnataka,Mysuru,Apr-24,79.5,41,29,35,70,7.5,17.3,SE,42%,1.4
Karnataka,Hubli,Aug-23,87.4,25,15,20,34,7.5,15.9,N,85%,5
Maharashtra,Nagpur,May-22,79.1,27,18,22.5,64,8.2,22.9,SE,51%,1.6
Maharashtra,Mumbai,Jan-20,47.9,31,25,28,87,7.9,24.3,SW,82%,4.1
Uttar Pradesh,Varanasi,Sep-22,142.2,34,25,29.5,86,8.5,22.5,S,45%,0.7
Uttar Pradesh,Agra,Apr-24,46.9,29,18,23.5,60,5.2,9,NW,71%,3
Tamil Nadu,Madurai,Dec-23,18,29,22,25.5,66,6.2,6.2,SE,45%,3.8
Maharashtra,Nashik,Jan-20,75.1,36,31,33.5,85,5.4,15.3,S,26%,1.7
Uttar Pradesh,Kanpur,Mar-22,47.1,41,33,37,45,5.6,12.9,SE,22%,4.5
Uttar Pradesh,Kanpur,Mar-20,22.4,38,31,34.5,74,8.7,12.9,S,60%,0.2
Maharashtra,Nagpur,Jun-21,99.9,28,23,25.5,67,6.7,8.5,SE,59%,4.7
Maharashtra,Nagpur,Apr-20,60.2,31,22,26.5,71,4.7,21.5,NW,17%,1.1
Gujarat,Ahmedabad,Aug-22,202.9,29,18,23.5,37,7.1,20.5,W,18%,3.7
Tamil Nadu,Chennai,Mar-23,31.5,40,35,37.5,88,5.6,13.4,E,65%,1.7
Karnataka,Hubli,Jul-22,165.2,42,37,39.5,76,5.4,15.7,NW,77%,1
Maharashtra,Nagpur,Nov-21,55.1,31,25,28,39,5.3,18.9,E,61%,1.1
Uttar Pradesh,Kanpur,Dec-21,50.2,29,19,24,45,6.1,7.8,SE,66%,4.1
Gujarat,Surat,May-20,12.5,31,19,25,72,5.4,16.5,NW,21%,0.6
Tamil Nadu,Chennai,Jul-23,378.7,29,18,23.5,36,9.9,22.3,SE,74%,4.5
Maharashtra,Pune,Sep-23,363.7,34,28,31,75,8.2,11.7,E,53%,3.1
Maharashtra,Nagpur,Dec-22,4.9,38,33,35.5,31,4,23.8,W,39%,4.5
Maharashtra,Nagpur,Sep-22,307.4,41,31,36,89,8.2,12.3,SW,49%,3.3
Uttar Pradesh,Agra,Mar-24,60.4,33,22,27.5,47,8.4,5.7,NW,45%,2.9
Gujarat,Vadodara,Mar-23,39.5,31,19,25,56,7.8,13.4,SW,48%,3.1
Maharashtra,Nagpur,Feb-24,35.9,30,22,26,76,4.9,12.6,NW,25%,2.9
Tamil Nadu,Chennai,Jun-22,233,36,27,31.5,60,4.1,24.5,S,38%,0.2
Uttar Pradesh,Agra,Apr-20,19.5,41,33,37,62,5.3,17,SE,57%,0.2
Tamil Nadu,Madurai,Nov-21,2.2,27,15,21,87,9.8,13.4,NW,30%,0.1
Uttar Pradesh,Agra,Jun-20,296,42,34,38,45,5.5,5.7,N,44%,1.5
Uttar Pradesh,Kanpur,May-22,51.3,39,29,34,32,8,11.5,N,38%,2.9
Uttar Pradesh,Agra,Sep-23,221.3,26,21,23.5,68,8.7,15,S,68%,2.7
Tamil Nadu,Coimbatore,Mar-21,12.1,31,25,28,64,7.4,15.6,S,73%,4.8
Gujarat,Vadodara,Jul-23,83.1,29,18,23.5,45,6.7,17,SE,45%,1.8
Gujarat,Vadodara,Jan-24,49.9,37,25,31,68,9.8,11.9,W,60%,1.5
Maharashtra,Pune,May-23,18.6,41,35,38,33,4.6,17.5,S,13%,2.7
Gujarat,Ahmedabad,Mar-21,42.8,25,17,21,48,9.8,22.1,NW,69%,0.1
Karnataka,Hubli,May-21,58.4,32,27,29.5,39,6.3,24.1,E,65%,0.6
Maharashtra,Nagpur,Aug-23,279,42,35,38.5,49,7.5,24.6,N,49%,1
Tamil Nadu,Chennai,Nov-21,14.4,40,28,34,57,5.7,24,S,28%,0.6
Uttar Pradesh,Kanpur,Jul-22,219.2,40,30,35,48,7.5,18.2,SE,24%,0.9
Maharashtra,Mumbai,Dec-21,21.9,26,20,23,34,5.5,8.8,SW,20%,2.3
Gujarat,Surat,Sep-21,163.3,38,28,33,38,6.7,22,N,23%,2.1
