state,district,month,soil_type,rainfall_mm,temp_high_c,temp_low_c,temp_avg_c,humidity_percent,sunlight_hours,wind_speed_kmph,wind_direction,rain_probability,rain_duration_hours
Gujarat,Ahmedabad,2023-10,Red,24.5,34.9,22.9,28.9,60.2,9.3,7.4,N,85.00,3.19
Gujarat,Ahmedabad,2023-11,Black,10.4,34.3,17.5,25.9,50.4,9,6.7,SE,49.00,1.35
Gujarat,Ahmedabad,2023-12,Alluvial,3.8,27.2,11,19.1,39.4,8.5,9,E,82.00,0.49
Gujarat,Ahmedabad,2024-01,Loamy,2.3,27,13.8,20.4,42.7,9.6,3.8,NE,60.00,0.30
Gujarat,Ahmedabad,2024-02,Alluvial,4.4,32.3,12.7,22.5,48.8,8.9,7.2,W,86.00,0.57
Gujarat,Ahmedabad,2024-03,Alluvial,7.8,38.9,18.1,28.5,34.4,10.3,4.4,N,61.00,1.01
Gujarat,Ahmedabad,2024-04,Black,22.5,36.2,22.5,29.4,47,10.2,8.6,SE,75.00,2.93
Gujarat,Ahmedabad,2024-05,Loamy,61,40.6,26.3,33.5,52.8,6.4,11.3,N,44.00,7.93
Gujarat,Ahmedabad,2024-06,Loamy,227.9,35.5,29.5,32.5,71.9,4.8,9.9,SE,46.00,29.63
Gujarat,Ahmedabad,2024-07,Black,329,34.5,25.1,29.8,72.5,5.8,11,W,89.00,42.77
Gujarat,Ahmedabad,2024-08,Loamy,203.7,31.8,23.7,27.8,65.4,6.3,12.2,NW,50.00,26.48
Gujarat,Ahmedabad,2024-09,Alluvial,92.8,35.6,24.5,30.1,53.5,7.4,12.7,S,63.00,12.06
Gujarat,Ahmedabad,2024-10,Sandy,20.8,37.4,18.9,28.1,53.2,9.6,7.2,E,48.00,2.70
Gujarat,Ahmedabad,2024-11,Red,5.5,30.1,17.8,24,48.6,11,6.5,SW,58.00,0.72
Gujarat,Ahmedabad,2024-12,Black,0.9,29.3,14.2,21.8,48.3,9,9.6,E,71.00,0.12
Gujarat,Ahmedabad,2025-01,Alluvial,5.6,30.6,11.2,20.9,41.7,9.1,3.7,SW,62.00,0.73
Gujarat,Ahmedabad,2025-02,Sandy,7.3,32.5,14.1,23.3,42.7,8.1,6.8,NE,65.00,0.95
Gujarat,Ahmedabad,2025-03,Red,9,34.9,17.9,26.4,49,11.4,8.6,NE,82.00,1.17
Gujarat,Ahmedabad,2025-04,Loamy,22.8,39,21.8,30.4,44.7,9.6,15.5,SW,37.00,2.96
Gujarat,Ahmedabad,2025-05,Alluvial,59.7,41.6,28,34.8,48.3,8.4,10.4,S,76.00,7.76
Gujarat,Ahmedabad,2025-06,Loamy,251.2,36.7,30.8,33.8,63.8,6.1,14.7,NW,34.00,32.66
Gujarat,Ahmedabad,2025-07,Sandy,198.7,32.3,26.2,29.2,71,3.9,8.3,NE,58.00,25.83
Gujarat,Ahmedabad,2025-08,Loamy,170.5,32.8,24,28.4,87.4,4.7,7.1,NE,56.00,22.17
Gujarat,Ahmedabad,2025-09,Loamy,114.4,32.3,24.3,28.3,73.1,5.1,8.7,S,42.00,14.87
Gujarat,Surat,2023-10,Loamy,24.6,36.5,20.7,28.6,31.8,10,9.2,SW,67.00,3.20
Gujarat,Surat,2023-11,Alluvial,6.5,33.8,17.4,25.6,47.3,9.8,6.1,SE,84.00,0.85
Gujarat,Surat,2023-12,Black,8.5,31,11.8,21.4,51.6,8.5,10.6,N,75.00,1.11
Gujarat,Surat,2024-01,Alluvial,9.5,28,13.4,20.7,49.1,10.3,14,S,41.00,1.24
Gujarat,Surat,2024-02,Alluvial,6,31.1,13.1,22.1,36.8,9.4,9.3,SE,49.00,0.78
Gujarat,Surat,2024-03,Red,12.6,37.5,18.2,27.9,59.5,9.2,16.4,W,52.00,1.64
Gujarat,Surat,2024-04,Red,27.2,38,22.9,30.4,49.8,9.3,10.4,NW,44.00,3.54
Gujarat,Surat,2024-05,Red,76.4,41.2,27.2,34.2,44.9,6.5,10.8,E,80.00,9.93
Gujarat,Surat,2024-06,Black,238.9,36.4,29.4,32.9,78.1,4.6,8.7,SW,51.00,31.06
Gujarat,Surat,2024-07,Alluvial,288.4,31.6,26.6,29.1,79.5,6.6,11.4,S,43.00,37.49
Gujarat,Surat,2024-08,Loamy,172,30.9,25.8,28.4,79.1,6,19.8,E,62.00,22.36
Gujarat,Surat,2024-09,Black,116.5,36,25.4,30.7,66.5,6.6,10.6,SE,83.00,15.15
Gujarat,Surat,2024-10,Sandy,17.4,34.9,21.6,28.2,45.8,11.8,2.7,NW,81.00,2.26
Gujarat,Surat,2024-11,Loamy,7.9,30.9,17.6,24.2,55.9,9.6,5,S,54.00,1.03
Gujarat,Surat,2024-12,Red,1.4,31.3,12.3,21.8,47.2,9.5,6.3,SE,67.00,0.18
Gujarat,Surat,2025-01,Black,12.7,30.2,9.8,20,46.9,8.8,10.8,N,65.00,1.65
Gujarat,Surat,2025-02,Red,4.1,32.1,14.8,23.5,53.7,8.3,7.3,N,58.00,0.53
Gujarat,Surat,2025-03,Red,9.3,35.3,20.3,27.8,49,8.2,11,W,60.00,1.21
Gujarat,Surat,2025-04,Black,37.6,40.8,22.4,31.6,40.2,10.8,6.2,NE,77.00,4.89
Gujarat,Surat,2025-05,Black,75.9,42.4,27.1,34.8,59.4,3.1,5.2,SW,84.00,9.87
Gujarat,Surat,2025-06,Sandy,214.6,36.4,31.2,33.8,63.6,5.1,8.7,NW,34.00,27.90
Gujarat,Surat,2025-07,Black,377.7,31.1,27.6,29.4,75.1,4.5,9.7,NW,85.00,49.10
Gujarat,Surat,2025-08,Black,261.9,31.4,25.3,28.4,71.9,5.6,10.3,S,65.00,34.05
Gujarat,Surat,2025-09,Loamy,141.3,32.4,26.8,29.6,40.5,6.8,10,SE,88.00,18.37
Gujarat,Rajkot,2023-10,Loamy,22.2,34.1,21.8,28,40.1,8.9,10.6,W,59.00,2.89
Gujarat,Rajkot,2023-11,Red,6.2,32,19.1,25.6,48.1,10.3,9.9,W,53.00,0.81
Gujarat,Rajkot,2023-12,Black,0.8,29.2,13.9,21.6,51.1,9.5,8.4,SE,89.00,0.10
Gujarat,Rajkot,2024-01,Alluvial,9.2,28.1,12.7,20.4,43,9.3,11.3,NW,51.00,1.20
Gujarat,Rajkot,2024-02,Alluvial,9,33.2,15.6,24.4,45.2,10.2,7.1,N,54.00,1.17
Gujarat,Rajkot,2024-03,Black,11.6,35.8,18.1,26.9,51,8.7,14.3,E,60.00,1.51
Gujarat,Rajkot,2024-04,Loamy,13.2,37.2,25.4,31.3,52.9,10.1,9.9,W,50.00,1.72
Gujarat,Rajkot,2024-05,Sandy,60.6,39.7,28.1,33.9,53.2,8.2,7.6,NE,71.00,7.88
Gujarat,Rajkot,2024-06,Loamy,159.9,37.5,29.5,33.5,70.5,4.7,8.8,W,56.00,20.79
Gujarat,Rajkot,2024-07,Loamy,269.3,32.3,25.5,28.9,76.9,4.1,3.8,NW,65.00,35.01
Gujarat,Rajkot,2024-08,Loamy,182.1,31.7,25.4,28.5,86.8,6.4,7.5,S,56.00,23.67
Gujarat,Rajkot,2024-09,Alluvial,90.8,32.5,24,28.2,57.1,7.4,5.5,N,79.00,11.80
Gujarat,Rajkot,2024-10,Red,23.9,37.3,21.9,29.6,49,10.2,6.8,S,46.00,3.11
Gujarat,Rajkot,2024-11,Red,5.8,33,18.1,25.6,37.3,9.5,9.5,NE,75.00,0.75
Gujarat,Rajkot,2024-12,Black,7,31.5,15.6,23.6,37.3,10.4,8.6,W,69.00,0.91
Gujarat,Rajkot,2025-01,Alluvial,12.2,27.8,11,19.4,39,7.4,6.5,NW,71.00,1.59
Gujarat,Rajkot,2025-02,Loamy,3.4,32.3,14.4,23.3,63.8,10.5,6.3,S,72.00,0.44
Gujarat,Rajkot,2025-03,Loamy,6.1,36.8,16.4,26.6,63.3,10.7,6.6,E,78.00,0.79
Gujarat,Rajkot,2025-04,Red,8.3,41.1,23.9,32.5,57.4,7.9,6.2,NE,81.00,1.08
Gujarat,Rajkot,2025-05,Black,60.9,41.1,27.5,34.3,66.2,5.7,7.6,SE,63.00,7.92
Gujarat,Rajkot,2025-06,Black,209.1,38.8,29.9,34.3,66,4,11.9,SW,78.00,27.18
Gujarat,Rajkot,2025-07,Loamy,274.9,31.9,27.9,29.9,75.9,6.7,8.2,N,70.00,35.74
Gujarat,Rajkot,2025-08,Sandy,340.5,34.7,24.7,29.7,82.8,6.1,12.1,SW,41.00,44.27
Gujarat,Rajkot,2025-09,Alluvial,67.6,35.1,25.3,30.2,42.4,5.6,1.9,N,71.00,8.79
Gujarat,Vadodara,2023-10,Black,21.2,36.4,24,30.2,45.7,11.1,4.2,S,69.00,2.76
Gujarat,Vadodara,2023-11,Black,0.2,33.2,18.7,26,44.7,7.4,8,N,30.00,0.03
Gujarat,Vadodara,2023-12,Alluvial,0,31.3,13.7,22.5,35.6,9,5.1,NE,75.00,0.00
Gujarat,Vadodara,2024-01,Alluvial,5.6,30.7,11,20.9,50,9,5.9,NW,64.00,0.73
Gujarat,Vadodara,2024-02,Black,6.6,30.8,13.6,22.2,33,11.5,8.4,E,58.00,0.86
Gujarat,Vadodara,2024-03,Loamy,8.4,36.6,18.1,27.4,42.8,10.1,10.6,NW,31.00,1.09
Gujarat,Vadodara,2024-04,Red,19.4,38.4,23.9,31.1,22,8,12.4,E,62.00,2.52
Gujarat,Vadodara,2024-05,Black,97.2,40.9,28.9,34.9,63.1,10.7,11.7,W,62.00,12.64
Gujarat,Vadodara,2024-06,Red,224.2,36.9,27.3,32.1,76.6,4.7,4,SE,73.00,29.15
Gujarat,Vadodara,2024-07,Red,246.9,31.7,28.3,30,82.1,5.5,12.7,W,43.00,32.10
Gujarat,Vadodara,2024-08,Loamy,258.4,31,27.1,29.1,79.3,4.5,7.7,NW,71.00,33.59
Gujarat,Vadodara,2024-09,Alluvial,82.5,32.2,25.3,28.8,79.1,5.3,10,NW,66.00,10.73
Gujarat,Vadodara,2024-10,Black,18.5,34.6,21.5,28.1,36.4,9.5,5.8,SE,86.00,2.41
Gujarat,Vadodara,2024-11,Red,6.7,33.2,17.9,25.6,35.9,8.9,10.6,NE,86.00,0.87
Gujarat,Vadodara,2024-12,Loamy,4.8,28.8,13.4,21.1,52.5,7.8,9.9,N,41.00,0.62
Gujarat,Vadodara,2025-01,Loamy,3.6,30.2,11.3,20.8,27,7.9,8.5,SE,60.00,0.47
Gujarat,Vadodara,2025-02,Alluvial,7.8,31,15,23,28.4,9.4,4.7,SE,67.00,1.01
Gujarat,Vadodara,2025-03,Alluvial,8.6,36.4,17.2,26.8,41.2,10.5,6.6,NE,85.00,1.12
Gujarat,Vadodara,2025-04,Alluvial,28.9,37.6,24.9,31.2,59.4,7,5.9,SE,33.00,3.76
Gujarat,Vadodara,2025-05,Red,79.1,41,28.7,34.9,54,7.1,7.8,N,71.00,10.28
Gujarat,Vadodara,2025-06,Loamy,291.6,38.7,29.6,34.2,71.7,5,7,NE,71.00,37.91
Gujarat,Vadodara,2025-07,Red,314.1,32.7,26.6,29.7,91.6,6.4,7.3,SE,47.00,40.83
